card_id,play_requirement,value
KARA_00_07,REQ_NUM_MINION_SLOTS,1
PRO_001a,REQ_NUM_MINION_SLOTS,1
NAX1_01,REQ_NUM_MINION_SLOTS,1
DS1h_292_H1,REQ_STEADY_SHOT,0
DS1h_292_H1,REQ_MINION_OR_ENEMY_HERO,0
KAR_076,REQ_TARGET_TO_PLAY,0
AT_024,REQ_TARGET_TO_PLAY,0
AT_024,REQ_TARGET_WITH_RACE,15
AT_024,REQ_MINION_TARGET,0
BRMA06_2,REQ_NUM_MINION_SLOTS,1
NAX5_02,REQ_MINIMUM_ENEMY_MINIONS,1
OG_080c,REQ_FRIENDLY_TARGET,0
OG_080c,REQ_TARGET_TO_PLAY,0
OG_080c,REQ_MINION_TARGET,0
CS2_039,REQ_TARGET_TO_PLAY,0
CS2_039,REQ_MINION_TARGET,0
TB_KaraPortal_002,REQ_MINION_TARGET,0
CS2_094,REQ_TARGET_TO_PLAY,0
TB_SPT_DPromoHP,REQ_MINION_TARGET,0
BRMA15_3,REQ_NUM_MINION_SLOTS,1
CS2_141,REQ_TARGET_IF_AVAILABLE,0
CS2_141,REQ_NONSELF_TARGET,0
CS2_063,REQ_TARGET_TO_PLAY,0
CS2_063,REQ_MINION_TARGET,0
CS2_063,REQ_ENEMY_TARGET,0
GVG_055e,REQ_FRIENDLY_TARGET,0
TB_006,REQ_TARGET_TO_PLAY,0
TB_006,REQ_MINION_TARGET,0
CFM_621t21,REQ_MINIMUM_TOTAL_MINIONS,1
LOEA06_04h,REQ_TARGET_TO_PLAY,0
CS2_092,REQ_TARGET_TO_PLAY,0
CS2_092,REQ_MINION_TARGET,0
XXX_053,REQ_TARGET_TO_PLAY,0
XXX_053,REQ_HERO_TARGET,0
EX1_407,REQ_MINIMUM_TOTAL_MINIONS,2
XXX_104,REQ_TARGET_TO_PLAY,0
EX1_571,REQ_NUM_MINION_SLOTS,1
EX1_561,REQ_TARGET_IF_AVAILABLE,0
EX1_561,REQ_HERO_TARGET,0
OG_206,REQ_TARGET_TO_PLAY,0
OG_206,REQ_MINION_TARGET,0
NEW1_017,REQ_TARGET_IF_AVAILABLE,0
NEW1_017,REQ_TARGET_WITH_RACE,14
LOE_019,REQ_TARGET_WITH_DEATHRATTLE,0
LOE_019,REQ_FRIENDLY_TARGET,0
LOE_019,REQ_TARGET_IF_AVAILABLE,0
CFM_694,REQ_TARGET_IF_AVAILABLE,0
CFM_694,REQ_STEALTHED_TARGET,0
CFM_694,REQ_MINION_TARGET,0
TU4c_006,REQ_FRIENDLY_TARGET,0
TU4c_006,REQ_TARGET_TO_PLAY,0
TU4c_006,REQ_MINION_TARGET,0
EX1_283,REQ_TARGET_IF_AVAILABLE,0
NEW1_014,REQ_FRIENDLY_TARGET,0
NEW1_014,REQ_TARGET_IF_AVAILABLE,0
NEW1_014,REQ_NONSELF_TARGET,0
NEW1_014,REQ_MINION_TARGET,0
GVG_041a,REQ_TARGET_TO_PLAY,0
GVG_041a,REQ_MINION_TARGET,0
AT_030,REQ_TARGET_FOR_COMBO,0
EX1_005,REQ_TARGET_MIN_ATTACK,7
EX1_005,REQ_TARGET_IF_AVAILABLE,0
EX1_005,REQ_MINION_TARGET,0
NAX5_02H,REQ_MINIMUM_ENEMY_MINIONS,0
BRMA09_3,REQ_NUM_MINION_SLOTS,1
XXX_002,REQ_TARGET_TO_PLAY,0
KARA_06_03hp,REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,0
KARA_06_03hp,REQ_NUM_MINION_SLOTS,1
AT_050t,REQ_TARGET_TO_PLAY,0
CFM_603,REQ_TARGET_MAX_ATTACK,2
CFM_603,REQ_TARGET_TO_PLAY,0
CFM_603,REQ_NUM_MINION_SLOTS,1
CFM_603,REQ_MINION_TARGET,0
CFM_603,REQ_ENEMY_TARGET,0
XXX_062,REQ_TARGET_TO_PLAY,0
XXX_062,REQ_HERO_TARGET,0
OG_234,REQ_TARGET_IF_AVAILABLE,0
OG_234,REQ_NONSELF_TARGET,0
GVG_055,REQ_FRIENDLY_TARGET,0
GVG_055,REQ_TARGET_IF_AVAILABLE,0
GVG_055,REQ_TARGET_WITH_RACE,17
BRMA06_2H,REQ_NUM_MINION_SLOTS,1
BRMA09_2_TB,REQ_NUM_MINION_SLOTS,1
EX1_126,REQ_TARGET_TO_PLAY,0
EX1_126,REQ_MINION_TARGET,0
EX1_126,REQ_ENEMY_TARGET,0
XXX_047,REQ_TARGET_TO_PLAY,0
XXX_047,REQ_HERO_TARGET,0
CFM_855,REQ_TARGET_WITH_DEATHRATTLE,0
CFM_855,REQ_TARGET_IF_AVAILABLE,0
CFM_855,REQ_NONSELF_TARGET,0
AT_062,REQ_NUM_MINION_SLOTS,1
EX1_538,REQ_NUM_MINION_SLOTS,1
EX1_538,REQ_MINIMUM_ENEMY_MINIONS,1
EX1_410,REQ_TARGET_TO_PLAY,0
EX1_410,REQ_MINION_TARGET,0
CFM_657,REQ_TARGET_IF_AVAILABLE,0
CFM_657,REQ_NONSELF_TARGET,0
CFM_657,REQ_MINION_TARGET,0
LOEA07_18,REQ_TARGET_TO_PLAY,0
CFM_667,REQ_TARGET_IF_AVAILABLE,0
CFM_667,REQ_MINION_TARGET,0
CFM_667,REQ_ENEMY_TARGET,0
BRMA17_5,REQ_NUM_MINION_SLOTS,1
EX1_279,REQ_TARGET_TO_PLAY,0
NAX3_03,REQ_TARGET_TO_PLAY,0
NAX3_03,REQ_MINION_TARGET,0
XXX_041,REQ_TARGET_TO_PLAY,0
XXX_041,REQ_HERO_TARGET,0
BRMA05_3,REQ_TARGET_TO_PLAY,0
BRMA05_3,REQ_MINION_TARGET,0
BRMA05_3,REQ_ENEMY_TARGET,0
CFM_621t2,REQ_TARGET_TO_PLAY,0
CFM_611,REQ_TARGET_TO_PLAY,0
CFM_611,REQ_MINION_TARGET,0
EX1_048,REQ_TARGET_IF_AVAILABLE,0
EX1_048,REQ_NONSELF_TARGET,0
EX1_048,REQ_MINION_TARGET,0
CFM_713,REQ_MINION_SLOT_OR_MANA_CRYSTAL_SLOT,0
AT_005,REQ_TARGET_TO_PLAY,0
AT_005,REQ_MINION_TARGET,0
CS2_236,REQ_TARGET_TO_PLAY,0
CS2_236,REQ_MINION_TARGET,0
AT_115,REQ_MINION_TARGET,0
EX1_133,REQ_TARGET_IF_AVAILABLE,0
OG_223,REQ_TARGET_TO_PLAY,0
OG_223,REQ_MINION_TARGET,0
GVG_052,REQ_TARGET_TO_PLAY,0
GVG_052,REQ_MINION_TARGET,0
EX1_134,REQ_TARGET_FOR_COMBO,0
OG_048,REQ_TARGET_TO_PLAY,0
OG_048,REQ_MINION_TARGET,0
GVG_022,REQ_MINION_TARGET,0
PART_001,REQ_TARGET_TO_PLAY,0
PART_001,REQ_MINION_TARGET,0
CFM_063,REQ_TARGET_IF_AVAILABLE,0
CFM_063,REQ_MINION_TARGET,0
XXX_101,REQ_TARGET_TO_PLAY,0
XXX_007,REQ_TARGET_TO_PLAY,0
OG_023,REQ_TARGET_TO_PLAY,0
OG_023,REQ_MINION_TARGET,0
AT_048,REQ_TARGET_TO_PLAY,0
EX1_537,REQ_TARGET_TO_PLAY,0
EX1_537,REQ_MINION_TARGET,0
BRM_030t,REQ_TARGET_TO_PLAY,0
OG_061,REQ_TARGET_TO_PLAY,0
TU4e_002,REQ_NUM_MINION_SLOTS,2
LOE_002,REQ_TARGET_TO_PLAY,0
CFM_310,REQ_NUM_MINION_SLOTS,1
EX1_363,REQ_TARGET_TO_PLAY,0
EX1_363,REQ_MINION_TARGET,0
BRMC_100,REQ_TARGET_TO_PLAY,0
BRMC_100,REQ_MINION_TARGET,0
BRMC_100,REQ_ENEMY_TARGET,0
GVG_015,REQ_TARGET_TO_PLAY,0
XXX_048,REQ_TARGET_TO_PLAY,0
XXX_048,REQ_HERO_TARGET,0
CS2_087,REQ_TARGET_TO_PLAY,0
CS2_087,REQ_MINION_TARGET,0
EX1_124,REQ_TARGET_TO_PLAY,0
KAR_065,REQ_FRIENDLY_TARGET,0
KAR_065,REQ_TARGET_IF_AVAILABLE,0
KAR_065,REQ_TARGET_WITH_RACE,20
KAR_065,REQ_MINION_TARGET,0
AT_132_PALADIN,REQ_NUM_MINION_SLOTS,1
CS2_029,REQ_TARGET_TO_PLAY,0
DS1_183,REQ_MINIMUM_ENEMY_MINIONS,2
BRMC_91,REQ_TARGET_IF_AVAILABLE,0
AT_057,REQ_FRIENDLY_TARGET,0
AT_057,REQ_TARGET_IF_AVAILABLE,0
AT_057,REQ_TARGET_WITH_RACE,20
NEW1_008b,REQ_TARGET_TO_PLAY,0
CS2_234,REQ_TARGET_MAX_ATTACK,3
CS2_234,REQ_TARGET_TO_PLAY,0
CS2_234,REQ_MINION_TARGET,0
EX1_155b,REQ_TARGET_TO_PLAY,0
EX1_155b,REQ_MINION_TARGET,0
BRMA02_2_2_TB,REQ_NUM_MINION_SLOTS,1
CS2_007,REQ_TARGET_TO_PLAY,0
KAR_A02_06,REQ_FRIENDLY_TARGET,0
KAR_A02_06,REQ_TARGET_IF_AVAILABLE,0
KAR_A02_06,REQ_MINION_TARGET,0
XXX_003,REQ_TARGET_TO_PLAY,0
XXX_006,REQ_TARGET_TO_PLAY,0
XXX_006,REQ_HERO_TARGET,0
EX1_161,REQ_TARGET_TO_PLAY,0
EX1_161,REQ_MINION_TARGET,0
NAX12_02H,REQ_MINIMUM_ENEMY_MINIONS,1
BRMA07_2,REQ_MINIMUM_ENEMY_MINIONS,1
DREAM_04,REQ_TARGET_TO_PLAY,0
DREAM_04,REQ_MINION_TARGET,0
XXX_061,REQ_TARGET_TO_PLAY,0
XXX_061,REQ_HERO_TARGET,0
XXX_105,REQ_TARGET_TO_PLAY,0
OG_006b,REQ_NUM_MINION_SLOTS,1
AT_096,REQ_FRIENDLY_TARGET,0
AT_096,REQ_TARGET_IF_AVAILABLE,0
AT_096,REQ_TARGET_WITH_RACE,17
AT_096,REQ_MINION_TARGET,0
CFM_335,REQ_TARGET_IF_AVAILABLE,0
KARA_08_05,REQ_TARGET_TO_PLAY,0
KARA_08_05,REQ_MINION_TARGET,0
KARA_08_05,REQ_MINIMUM_ENEMY_MINIONS,1
KARA_08_05,REQ_ENEMY_TARGET,0
CS1h_001,REQ_TARGET_TO_PLAY,0
EX1_019,REQ_FRIENDLY_TARGET,0
EX1_019,REQ_TARGET_IF_AVAILABLE,0
EX1_019,REQ_MINION_TARGET,0
EX1_345,REQ_NUM_MINION_SLOTS,1
XXX_042,REQ_TARGET_TO_PLAY,0
XXX_042,REQ_HERO_TARGET,0
CFM_659,REQ_TARGET_IF_AVAILABLE,0
LOEA16_3,REQ_TARGET_TO_PLAY,0
LOEA16_3,REQ_MINION_TARGET,0
AT_037a,REQ_TARGET_TO_PLAY,0
GVG_073,REQ_TARGET_TO_PLAY,0
GVG_073,REQ_MINION_TARGET,0
KAR_A02_06H,REQ_FRIENDLY_TARGET,0
KAR_A02_06H,REQ_TARGET_IF_AVAILABLE,0
KAR_A02_06H,REQ_MINION_TARGET,0
LOE_017,REQ_TARGET_IF_AVAILABLE,0
LOE_017,REQ_MINION_TARGET,0
XXX_001,REQ_TARGET_TO_PLAY,0
NAX3_02,REQ_MINIMUM_ENEMY_MINIONS,1
NEW1_005,REQ_TARGET_FOR_COMBO,0
NEW1_005,REQ_MINION_TARGET,0
AT_122,REQ_TARGET_IF_AVAILABLE_AND_MINIMUM_FRIENDLY_MINIONS,4
CS1h_001_H1,REQ_TARGET_TO_PLAY,0
TB_KaraPortal_001,REQ_MINION_TARGET,0
CS2_034_H2_AT_132,REQ_TARGET_TO_PLAY,0
CS2_034_H2,REQ_TARGET_TO_PLAY,0
KARA_06_03hpheroic,REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,0
KARA_06_03hpheroic,REQ_NUM_MINION_SLOTS,1
LOEA06_03,REQ_MINIMUM_TOTAL_MINIONS,1
AT_064,REQ_TARGET_TO_PLAY,0
CS2_150,REQ_TARGET_IF_AVAILABLE,0
CS2_150,REQ_NONSELF_TARGET,0
CS2_049,REQ_ENTIRE_ENTOURAGE_NOT_IN_PLAY,0
CS2_049,REQ_NUM_MINION_SLOTS,1
AT_074,REQ_TARGET_TO_PLAY,0
AT_074,REQ_MINION_TARGET,0
CS2_045,REQ_FRIENDLY_TARGET,0
CS2_045,REQ_TARGET_TO_PLAY,0
TU4c_002,REQ_TARGET_TO_PLAY,0
TU4c_002,REQ_ENEMY_TARGET,0
DS1_185,REQ_TARGET_TO_PLAY,0
BRMA06_2H_TB,REQ_NUM_MINION_SLOTS,1
OG_309,REQ_TARGET_WITH_DEATHRATTLE,0
OG_309,REQ_FRIENDLY_TARGET,0
OG_309,REQ_TARGET_IF_AVAILABLE,0
OG_309,REQ_MINION_TARGET,0
TB_BlingBrawl_Hero1,REQ_WEAPON_EQUIPPED,0
XXX_004,REQ_TARGET_TO_PLAY,0
NAX3_02_TB,REQ_MINIMUM_ENEMY_MINIONS,1
XXX_112,REQ_TARGET_TO_PLAY,0
XXX_112,REQ_HERO_TARGET,0
GVG_014,REQ_TARGET_IF_AVAILABLE,0
GVG_014,REQ_MINION_TARGET,0
EX1_245,REQ_TARGET_TO_PLAY,0
EX1_245,REQ_MINION_TARGET,0
EX1_354,REQ_TARGET_TO_PLAY,0
EX1_308,REQ_TARGET_TO_PLAY,0
AT_015,REQ_TARGET_TO_PLAY,0
AT_015,REQ_MINION_TARGET,0
AT_015,REQ_ENEMY_TARGET,0
EX1_248,REQ_NUM_MINION_SLOTS,1
EX1_623,REQ_FRIENDLY_TARGET,0
EX1_623,REQ_TARGET_IF_AVAILABLE,0
EX1_623,REQ_MINION_TARGET,0
XXX_057,REQ_TARGET_TO_PLAY,0
XXX_057,REQ_HERO_TARGET,0
LOEA09_6,REQ_TARGET_IF_AVAILABLE,0
LOEA09_6,REQ_NONSELF_TARGET,0
GVG_041b,REQ_NUM_MINION_SLOTS,1
GVG_041b,REQ_MINION_TARGET,0
GVG_031,REQ_TARGET_TO_PLAY,0
GVG_031,REQ_MINION_TARGET,0
GVG_031,REQ_ENEMY_TARGET,0
TB_MechWar_Boss1_HeroPower,REQ_FRIENDLY_TARGET,0
TB_MechWar_Boss1_HeroPower,REQ_MINION_TARGET,0
KARA_09_07heroic,REQ_TARGET_TO_PLAY,0
KARA_09_05heroic,REQ_NUM_MINION_SLOTS,1
EX1_002,REQ_TARGET_IF_AVAILABLE,0
EX1_002,REQ_MUST_TARGET_TAUNTER,0
EX1_002,REQ_MINION_TARGET,0
EX1_002,REQ_ENEMY_TARGET,0
BRM_007,REQ_TARGET_TO_PLAY,0
BRM_007,REQ_MINION_TARGET,0
XXX_052,REQ_TARGET_TO_PLAY,0
NAX10_03,REQ_TARGET_TO_PLAY,0
NAX10_03,REQ_MINION_TARGET,0
CS2_034_H1_AT_132,REQ_TARGET_TO_PLAY,0
TB_008,REQ_TARGET_TO_PLAY,0
EX1_320,REQ_TARGET_TO_PLAY,0
AT_103,REQ_TARGET_TO_PLAY,0
LOE_008,REQ_MINION_TARGET,0
CS2_101,REQ_NUM_MINION_SLOTS,1
XXX_049,REQ_TARGET_TO_PLAY,0
XXX_049,REQ_HERO_TARGET,0
EX1_166,REQ_TARGET_IF_AVAILABLE,0
LOEA16_5,REQ_NUM_MINION_SLOTS,1
OG_102,REQ_FRIENDLY_TARGET,0
OG_102,REQ_TARGET_IF_AVAILABLE,0
OG_102,REQ_MINION_TARGET,0
BRMA13_5,REQ_TARGET_IF_AVAILABLE,0
EX1_365,REQ_TARGET_TO_PLAY,0
LOEA16_20,REQ_FRIENDLY_TARGET,0
LOEA16_20,REQ_TARGET_TO_PLAY,0
LOEA16_20,REQ_MINION_TARGET,0
BRMA12_8,REQ_TARGET_TO_PLAY,0
BRMA12_8,REQ_MINION_TARGET,0
PRO_001b,REQ_TARGET_TO_PLAY,0
CS2_022,REQ_TARGET_TO_PLAY,0
CS2_022,REQ_MINION_TARGET,0
KAR_033,REQ_TARGET_MAX_ATTACK,3
KAR_033,REQ_TARGET_IF_AVAILABLE_AND_DRAGON_IN_HAND,0
KAR_033,REQ_NONSELF_TARGET,0
KAR_033,REQ_MINION_TARGET,0
KAR_033,REQ_ENEMY_TARGET,0
EX1_059,REQ_TARGET_IF_AVAILABLE,0
EX1_059,REQ_MINION_TARGET,0
EX1_303,REQ_FRIENDLY_TARGET,0
EX1_303,REQ_TARGET_TO_PLAY,0
EX1_303,REQ_MINION_TARGET,0
TB_007,REQ_TARGET_TO_PLAY,0
TB_007,REQ_MINION_TARGET,0
BRMA05_3H,REQ_TARGET_TO_PLAY,0
BRMA05_3H,REQ_MINION_TARGET,0
BRMA05_3H,REQ_ENEMY_TARGET,0
NEW1_007,REQ_TARGET_IF_AVAILABLE,0
NEW1_007,REQ_MINION_TARGET,0
EX1_251,REQ_MINIMUM_ENEMY_MINIONS,2
OG_328,REQ_FRIENDLY_TARGET,0
OG_328,REQ_TARGET_IF_AVAILABLE,0
OG_328,REQ_MINION_TARGET,0
EX1_549,REQ_FRIENDLY_TARGET,0
EX1_549,REQ_TARGET_TO_PLAY,0
EX1_549,REQ_TARGET_WITH_RACE,20
CS2_101_H1,REQ_NUM_MINION_SLOTS,1
CS2_233,REQ_WEAPON_EQUIPPED,0
OG_291,REQ_FRIENDLY_TARGET,0
OG_291,REQ_TARGET_IF_AVAILABLE,0
OG_291,REQ_MINION_TARGET,0
OG_162,REQ_TARGET_IF_AVAILABLE,0
OG_162,REQ_NONSELF_TARGET,0
BRMA14_10H_TB,REQ_NUM_MINION_SLOTS,1
TU4a_004,REQ_TARGET_TO_PLAY,0
TU4a_004,REQ_HERO_TARGET,0
TU4a_004,REQ_ENEMY_TARGET,0
CS2_108,REQ_DAMAGED_TARGET,0
CS2_108,REQ_TARGET_TO_PLAY,0
CS2_108,REQ_MINION_TARGET,0
CS2_108,REQ_ENEMY_TARGET,0
OG_073,REQ_MINION_TARGET,0
BRM_011,REQ_TARGET_TO_PLAY,0
GVG_001,REQ_MINIMUM_ENEMY_MINIONS,1
TU4d_003,REQ_TARGET_TO_PLAY,0
TU4d_003,REQ_ENEMY_TARGET,0
XXX_012,REQ_TARGET_TO_PLAY,0
XXX_012,REQ_MINION_TARGET,0
EX1_355,REQ_TARGET_TO_PLAY,0
EX1_355,REQ_MINION_TARGET,0
CS2_034,REQ_TARGET_TO_PLAY,0
XXX_107,REQ_TARGET_TO_PLAY,0
OG_086,REQ_TARGET_TO_PLAY,0
OG_086,REQ_MINION_TARGET,0
CS1_129,REQ_TARGET_TO_PLAY,0
CS1_129,REQ_MINION_TARGET,0
EX1_362,REQ_FRIENDLY_TARGET,0
EX1_362,REQ_TARGET_IF_AVAILABLE,0
EX1_362,REQ_NONSELF_TARGET,0
EX1_362,REQ_MINION_TARGET,0
KARA_09_05,REQ_NUM_MINION_SLOTS,1
EX1_014t,REQ_TARGET_TO_PLAY,0
EX1_014t,REQ_MINION_TARGET,0
KAR_026,REQ_NUM_MINION_SLOTS,1
KAR_026,REQ_MINIMUM_ENEMY_MINIONS,1
KARA_08_05H,REQ_TARGET_TO_PLAY,0
KARA_08_05H,REQ_MINION_TARGET,0
KARA_08_05H,REQ_MINIMUM_ENEMY_MINIONS,1
KARA_08_05H,REQ_ENEMY_TARGET,0
EX1_625t,REQ_TARGET_TO_PLAY,0
FP1_025,REQ_TARGET_TO_PLAY,0
FP1_025,REQ_MINION_TARGET,0
CS2_188,REQ_TARGET_IF_AVAILABLE,0
